DataSeries,year_month,arrivals
Number Of Air Passenger Arrivals,2025-07,3042743
South East Asia,2025-07,1173824
Vietnam,2025-07,114128
Indonesia,2025-07,360848
Other Regions,2025-07,14828
Malaysia,2025-07,300959
Philippines,2025-07,119609
Thailand,2025-07,231651
North East Asia,2025-07,847525
Mainland China,2025-07,424379
Hong Kong,2025-07,104876
Japan,2025-07,131689
South Asia,2025-07,281339
Middle East,2025-07,110291
Oceania,2025-07,312094
Germany,2025-07,44431
Europe,2025-07,243416
France,2025-07,27930
United Kingdom,2025-07,74003
North America,2025-07,59426
Number Of Air Passenger Arrivals,2025-06,2962918
South East Asia,2025-06,1174308
Vietnam,2025-06,113251
Indonesia,2025-06,359994
Other Regions,2025-06,11628
Malaysia,2025-06,298654
Philippines,2025-06,125124
Thailand,2025-06,235519
North East Asia,2025-06,814366
Mainland China,2025-06,370649
Hong Kong,2025-06,97490
Japan,2025-06,156359
South Asia,2025-06,292860
Middle East,2025-06,81297
Oceania,2025-06,322159
Germany,2025-06,36489
Europe,2025-06,206792
France,2025-06,23445
United Kingdom,2025-06,64104
North America,2025-06,59508
Number Of Air Passenger Arrivals,2025-05,2873379
South East Asia,2025-05,1158057
Vietnam,2025-05,104090
Indonesia,2025-05,352346
Other Regions,2025-05,10863
Malaysia,2025-05,299184
Philippines,2025-05,132836
Thailand,2025-05,225560
North East Asia,2025-05,776502
Mainland China,2025-05,343943
Hong Kong,2025-05,152556
Japan,2025-05,96108
South Asia,2025-05,316661
Middle East,2025-05,71342
Oceania,2025-05,299163
Germany,2025-05,32176
Europe,2025-05,185352
France,2025-05,22072
United Kingdom,2025-05,59542
North America,2025-05,55439
Number Of Air Passenger Arrivals,2025-04,2923118
South East Asia,2025-04,1130801
Vietnam,2025-04,106027
Indonesia,2025-04,321654
Other Regions,2025-04,11602
Malaysia,2025-04,287474
Philippines,2025-04,129451
Thailand,2025-04,236982
North East Asia,2025-04,822661
Mainland China,2025-04,363962
Hong Kong,2025-04,105205
Japan,2025-04,165368
South Asia,2025-04,315639
Middle East,2025-04,80591
Oceania,2025-04,312905
Germany,2025-04,36964
Europe,2025-04,200545
France,2025-04,24117
United Kingdom,2025-04,63454
North America,2025-04,48374
Number Of Air Passenger Arrivals,2025-03,2766949
South East Asia,2025-03,1110012
Vietnam,2025-03,105443
Indonesia,2025-03,291880
Other Regions,2025-03,9531
Malaysia,2025-03,293265
Philippines,2025-03,117175
Thailand,2025-03,251348
North East Asia,2025-03,751260
Mainland China,2025-03,314266
Hong Kong,2025-03,102893
Japan,2025-03,162954
South Asia,2025-03,303371
Middle East,2025-03,73758
Oceania,2025-03,282929
Germany,2025-03,36357
Europe,2025-03,183401
France,2025-03,19174
United Kingdom,2025-03,57231
North America,2025-03,52687
Number Of Air Passenger Arrivals,2025-02,2754111
South East Asia,2025-02,1120833
Vietnam,2025-02,99305
Indonesia,2025-02,295695
Other Regions,2025-02,9166
Malaysia,2025-02,305328
Philippines,2025-02,122425
Thailand,2025-02,248280
North East Asia,2025-02,720134
Mainland China,2025-02,316890
Hong Kong,2025-02,81183
Japan,2025-02,158636
South Asia,2025-02,304208
Middle East,2025-02,89442
Oceania,2025-02,271332
Germany,2025-02,40723
Europe,2025-02,190594
France,2025-02,20314
United Kingdom,2025-02,56986
North America,2025-02,48402
Number Of Air Passenger Arrivals,2025-01,3130805
South East Asia,2025-01,1189806
Vietnam,2025-01,101487
Indonesia,2025-01,319040
Other Regions,2025-01,11104
Malaysia,2025-01,303021
Philippines,2025-01,150016
Thailand,2025-01,264939
North East Asia,2025-01,909162
Mainland China,2025-01,405891
Hong Kong,2025-01,121217
Japan,2025-01,169542
South Asia,2025-01,323436
Middle East,2025-01,90750
Oceania,2025-01,336005
Germany,2025-01,42819
Europe,2025-01,212216
France,2025-01,20593
United Kingdom,2025-01,68805
North America,2025-01,58326
Number Of Air Passenger Arrivals,2024-12,3218469
South East Asia,2024-12,1244205
Vietnam,2024-12,105848
Indonesia,2024-12,341960
Other Regions,2024-12,12588
Malaysia,2024-12,337008
Philippines,2024-12,123812
Thailand,2024-12,279506
North East Asia,2024-12,878499
Mainland China,2024-12,361183
Hong Kong,2024-12,114321
Japan,2024-12,183767
South Asia,2024-12,315485
Middle East,2024-12,105289
Oceania,2024-12,375999
Germany,2024-12,44055
Europe,2024-12,224638
France,2024-12,22678
United Kingdom,2024-12,73704
North America,2024-12,61766
Number Of Air Passenger Arrivals,2024-11,2839182
South East Asia,2024-11,1118406
Vietnam,2024-11,98116
Indonesia,2024-11,296314
Other Regions,2024-11,9179
Malaysia,2024-11,294907
Philippines,2024-11,124727
Thailand,2024-11,254727
North East Asia,2024-11,756248
Mainland China,2024-11,303665
Hong Kong,2024-11,104845
Japan,2024-11,160275
South Asia,2024-11,286854
Middle East,2024-11,80880
Oceania,2024-11,328357
Germany,2024-11,40337
Europe,2024-11,202805
France,2024-11,22629
United Kingdom,2024-11,62824
North America,2024-11,56453
Number Of Air Passenger Arrivals,2024-10,2757008
South East Asia,2024-10,1078942
Vietnam,2024-10,92505
Indonesia,2024-10,305697
Other Regions,2024-10,9772
Malaysia,2024-10,294533
Philippines,2024-10,117373
Thailand,2024-10,227143
North East Asia,2024-10,741719
Mainland China,2024-10,315351
Hong Kong,2024-10,90911
Japan,2024-10,157862
South Asia,2024-10,258158
Middle East,2024-10,85283
Oceania,2024-10,288482
Germany,2024-10,46925
Europe,2024-10,239259
France,2024-10,28054
United Kingdom,2024-10,74168
North America,2024-10,55393
Number Of Air Passenger Arrivals,2024-09,2718654
South East Asia,2024-09,1067025
Vietnam,2024-09,89246
Indonesia,2024-09,309639
Other Regions,2024-09,9804
Malaysia,2024-09,307150
Philippines,2024-09,108697
Thailand,2024-09,212885
North East Asia,2024-09,711663
Mainland China,2024-09,319703
Hong Kong,2024-09,94312
Japan,2024-09,136102
South Asia,2024-09,264963
Middle East,2024-09,81600
Oceania,2024-09,309643
Germany,2024-09,25495
Europe,2024-09,222514
France,2024-09,43965
United Kingdom,2024-09,71966
North America,2024-09,51442
Number Of Air Passenger Arrivals,2024-08,2820647
South East Asia,2024-08,1129553
Vietnam,2024-08,103303
Indonesia,2024-08,321967
Other Regions,2024-08,10587
Malaysia,2024-08,313313
Philippines,2024-08,120640
Thailand,2024-08,225976
North East Asia,2024-08,757520
Mainland China,2024-08,363853
Hong Kong,2024-08,97783
Japan,2024-08,141052
South Asia,2024-08,275101
Middle East,2024-08,78563
Oceania,2024-08,291909
Germany,2024-08,43692
Europe,2024-08,224129
France,2024-08,26144
United Kingdom,2024-08,72280
North America,2024-08,53285
Number Of Air Passenger Arrivals,2024-07,2905055
South East Asia,2024-07,1150805
Vietnam,2024-07,106354
Indonesia,2024-07,315797
Other Regions,2024-07,9807
Malaysia,2024-07,314827
Philippines,2024-07,129017
Thailand,2024-07,237235
North East Asia,2024-07,800012
Mainland China,2024-07,383622
Hong Kong,2024-07,105586
Japan,2024-07,138181
South Asia,2024-07,270467
Middle East,2024-07,94572
Oceania,2024-07,281434
Germany,2024-07,47057
Europe,2024-07,238398
France,2024-07,26993
United Kingdom,2024-07,76223
North America,2024-07,59560
Number Of Air Passenger Arrivals,2024-06,2870988
South East Asia,2024-06,1157174
Vietnam,2024-06,102272
Indonesia,2024-06,316588
Other Regions,2024-06,9313
Malaysia,2024-06,315011
Philippines,2024-06,142023
Thailand,2024-06,234730
North East Asia,2024-06,768707
Mainland China,2024-06,334891
Hong Kong,2024-06,101093
Japan,2024-06,145927
South Asia,2024-06,279834
Middle East,2024-06,79260
Oceania,2024-06,307654
Germany,2024-06,39254
Europe,2024-06,205921
France,2024-06,24058
United Kingdom,2024-06,65066
North America,2024-06,63125
Number Of Air Passenger Arrivals,2024-05,2688803
South East Asia,2024-05,1092938
Vietnam,2024-05,96072
Indonesia,2024-05,315076
Other Regions,2024-05,8943
Malaysia,2024-05,292170
Philippines,2024-05,121360
Thailand,2024-05,222001
North East Asia,2024-05,683118
Mainland China,2024-05,284250
Hong Kong,2024-05,83052
Japan,2024-05,140060
South Asia,2024-05,310967
Middle East,2024-05,65409
Oceania,2024-05,284377
Germany,2024-05,37376
Europe,2024-05,183255
France,2024-05,22187
United Kingdom,2024-05,54799
North America,2024-05,59796
Number Of Air Passenger Arrivals,2024-04,2732578
South East Asia,2024-04,1101447
Vietnam,2024-04,100406
Indonesia,2024-04,304889
Other Regions,2024-04,9120
