year_month,jet_fuel_usd_per_gallon
2005-01,1.3355000000000001
2005-02,1.33375
2005-03,1.55225
2005-04,1.5774
2005-05,1.4689999999999999
2005-06,1.6475
2005-07,1.6634
2005-08,1.82775
2005-09,2.219
2005-10,2.42325
2005-11,1.7225000000000001
2005-12,1.7108
2006-01,1.812
2006-02,1.763
2006-03,1.8674
2006-04,2.073
2006-05,2.069
2006-06,2.0808
2006-07,2.1505
2006-08,2.15275
2006-09,1.8534
2006-10,1.7469999999999999
2006-11,1.7085
2006-12,1.8097999999999999
2007-01,1.646
2007-02,1.725
2007-03,1.8417999999999999
2007-04,2.0345
2007-05,2.0460000000000003
2007-06,2.0892
2007-07,2.13325
2007-08,2.098
2007-09,2.261
2007-10,2.34625
2007-11,2.661
2007-12,2.5997500000000002
2008-01,2.6157500000000002
2008-02,2.7088
2008-03,3.1325
2008-04,3.3475
2008-05,3.6986
2008-06,3.87125
2008-07,3.95825
2008-08,3.3259999999999996
2008-09,3.411
2008-10,2.3649999999999998
2008-11,1.8735
2008-12,1.38175
2009-01,1.4424
2009-02,1.25475
2009-03,1.2605
2009-04,1.38275
2009-05,1.4614
2009-06,1.8042500000000001
2009-07,1.7222000000000002
2009-08,1.88975
2009-09,1.75275
2009-10,1.9170000000000003
2009-11,1.984
2009-12,1.9605
2010-01,2.0544000000000002
2010-02,1.9915
2010-03,2.10025
2010-04,2.2306
2010-05,2.063
2010-06,2.05825
2010-07,2.0208
2010-08,2.08825
2010-09,2.092
2010-10,2.2364
2010-11,2.3209999999999997
2010-12,2.444
2011-01,2.61475
2011-02,2.832
2011-03,3.117
2011-04,3.2442
2011-05,3.08225
2011-06,3.0787500000000003
2011-07,3.0956
2011-08,2.99575
2011-09,2.9684
2011-10,2.9625
2011-11,3.0505
2011-12,2.8868
2012-01,3.0869999999999997
2012-02,3.19175
2012-03,3.2552
2012-04,3.2262500000000003
2012-05,3.01425
2012-06,2.6968
2012-07,2.88375
2012-08,3.1384
2012-09,3.19275
2012-10,3.12975
2012-11,2.966
2012-12,2.94125
2013-01,3.0675
2013-02,3.229
2013-03,2.9894000000000003
2013-04,2.816
2013-05,2.7242
2013-06,2.7685
2013-07,2.886
2013-08,2.9936
2013-09,2.944
2013-10,2.8815
2013-11,2.8442
2013-12,2.9535
2014-01,2.9302
2014-02,2.969
2014-03,2.89175
2014-04,2.8905000000000003
2014-05,2.868
2014-06,2.8835
2014-07,2.8152500000000003
2014-08,2.8402000000000003
2014-09,2.7425
2014-10,2.4758
2014-11,2.2915
2014-12,1.82425
2015-01,1.5100000000000002
2015-02,1.757
2015-03,1.6332499999999999
2015-04,1.6655
2015-05,1.8374
2015-06,1.73525
2015-07,1.5608
2015-08,1.38325
2015-09,1.4
2015-10,1.3912
2015-11,1.3305
2015-12,1.10075
2016-01,0.9456
2016-02,0.9722500000000001
2016-03,1.071
2016-04,1.1298
2016-05,1.2922500000000001
2016-06,1.38075
2016-07,1.2896
2016-08,1.284
2016-09,1.325
2016-10,1.45975
2016-11,1.3515
2016-12,1.4798
2017-01,1.51575
2017-02,1.54125
2017-03,1.4544000000000001
2017-04,1.50975
2017-05,1.4092500000000001
2017-06,1.3115999999999999
2017-07,1.40875
2017-08,1.5335
2017-09,1.7835999999999999
2017-10,1.653
2017-11,1.751
2017-12,1.8114000000000001
2018-01,1.948
2018-02,1.8625
2018-03,1.8616
2018-04,2.011
2018-05,2.1545
2018-06,2.0978000000000003
2018-07,2.0955
2018-08,2.118
2018-09,2.18925
2018-10,2.25975
2018-11,1.972
2018-12,1.7025
2019-01,1.762
2019-02,1.89425
2019-03,1.9072
2019-04,1.97725
2019-05,1.9724
2019-06,1.81675
2019-07,1.90975
2019-08,1.8168
2019-09,1.875
2019-10,1.8639999999999999
2019-11,1.8276
2019-12,1.88675
2020-01,1.7887999999999997
2020-02,1.51275
2020-03,0.9775
2020-04,0.6527499999999999
2020-05,0.6544000000000001
2020-06,0.98
2020-07,1.076
2020-08,1.1127500000000001
2020-09,1.0105
2020-10,1.042
2020-11,1.1372499999999999
2020-12,1.316
2021-01,1.4068
2021-02,1.6025
2021-03,1.6720000000000002
2021-04,1.657
2021-05,1.7525
2021-06,1.8515
2021-07,1.8858000000000001
2021-08,1.807
2021-09,1.9637499999999999
2021-10,2.2706
2021-11,2.21775
2021-12,2.082
2022-01,2.44325
2022-02,2.6675
2022-03,3.39575
2022-04,3.8880000000000003
2022-05,3.9059999999999997
2022-06,4.13475
2022-07,3.5507999999999997
2022-08,3.30925
2022-09,3.2976
2022-10,3.69025
2022-11,3.25575
2022-12,2.9064
2023-01,3.52725
2023-02,2.84025
2023-03,2.706
2023-04,2.38375
2023-05,2.18
2023-06,2.2352
2023-07,2.45975
2023-08,2.97325
2023-09,3.1032
2023-10,2.8845
2023-11,2.77025
2023-12,2.4224
2024-01,2.55225
2024-02,2.70975
2024-03,2.5902000000000003
2024-04,2.61725
2024-05,2.3866
2024-06,2.3970000000000002
2024-07,2.45175
2024-08,2.1854
2024-09,1.98425
2024-10,2.072
2024-11,2.0536000000000003
2024-12,2.0860000000000003
2025-01,2.3316
2025-02,2.266
2025-03,2.065
2025-04,1.9805
2025-05,1.9332
2025-06,2.1
2025-07,2.2425
2025-08,2.056
2025-09,2.09
2025-10,2.1456
2025-11,2.2512499999999998
2025-12,1.9715
2026-01,2.015
2026-02,2.265
2026-03,3.657
2026-04,3.90325
2026-05,4.1185
